row;NCIt Code;NCIt PT;NCIt Definition;CTCAE PT;CTCAE 5.0 Definition;MedDRA Term;MedDRA Code;MedDRA TermType;MedDRA Version
3229;C146092;Grade 4 Renal Calculi, CTCAE;"Life-threatening consequences; urgent invasive intervention indicated";Grade 4 Renal calculi;"Life-threatening consequences; urgent invasive intervention indicated";Renal calculi;10038385;LLT;20,1
3230;C146527;Grade 5 Renal Calculi, CTCAE;Death;Grade 5 Renal calculi;Death;Renal calculi;10038385;LLT;20,1
3231;C143807;Renal Colic, CTCAE;A disorder characterized by paroxysmal and severe flank marked discomfort radiating to the inguinal area. Often, the cause is the passage of crystals/kidney stones.;Renal colic;A disorder characterized by paroxysmal and severe flank marked discomfort radiating to the inguinal area. Often, the cause is the passage of crystals/kidney stones.;Renal colic;10038419;LLT;20,1
3232;C144378;Grade 1 Renal Colic, CTCAE;"Mild pain not interfering with activity; nonprescription medication indicated";Grade 1 Renal colic;"Mild pain not interfering with activity; nonprescription medication indicated";Renal colic;10038419;LLT;20,1
3233;C144972;Grade 2 Renal Colic, CTCAE;"Moderate pain; limiting instrumental ADL; prescription medication indicated";Grade 2 Renal colic;"Moderate pain; limiting instrumental ADL; prescription medication indicated";Renal colic;10038419;LLT;20,1
3234;C145595;Grade 3 Renal Colic, CTCAE;"Hospitalization indicated; limiting self care ADL";Grade 3 Renal colic;"Hospitalization indicated; limiting self care ADL";Renal colic;10038419;LLT;20,1
3235;C143900;Urinary Fistula, CTCAE;A disorder characterized by an abnormal communication between any part of the urinary system and another organ or anatomic site.;Urinary fistula;A disorder characterized by an abnormal communication between any part of the urinary system and another organ or anatomic site.;Urinary fistula;10065368;LLT;20,1
3236;C145059;Grade 2 Urinary Fistula, CTCAE;Symptomatic, invasive intervention not indicated;Grade 2 Urinary fistula;Symptomatic, invasive intervention not indicated;Urinary fistula;10065368;LLT;20,1
3237;C145681;Grade 3 Urinary Fistula, CTCAE;Invasive intervention indicated;Grade 3 Urinary fistula;Invasive intervention indicated;Urinary fistula;10065368;LLT;20,1
3238;C146165;Grade 4 Urinary Fistula, CTCAE;"Life-threatening consequences; urgent invasive intervention indicated";Grade 4 Urinary fistula;"Life-threatening consequences; urgent invasive intervention indicated";Urinary fistula;10065368;LLT;20,1
3239;C146595;Grade 5 Urinary Fistula, CTCAE;Death;Grade 5 Urinary fistula;Death;Urinary fistula;10065368;LLT;20,1
3240;C143901;Urinary Frequency, CTCAE;A disorder characterized by urination at short intervals.;Urinary frequency;A disorder characterized by urination at short intervals.;Urinary frequency;10046539;LLT;20,1
3241;C144452;Grade 1 Urinary Frequency, CTCAE;Present;Grade 1 Urinary frequency;Present;Urinary frequency;10046539;LLT;20,1
3242;C145060;Grade 2 Urinary Frequency, CTCAE;"Limiting instrumental ADL; medical management indicated";Grade 2 Urinary frequency;"Limiting instrumental ADL; medical management indicated";Urinary frequency;10046539;LLT;20,1
3243;C146786;Urinary Incontinence, CTCAE 5.0;A disorder characterized by inability to control the flow of urine from the bladder.;Urinary incontinence;A disorder characterized by inability to control the flow of urine from the bladder.;Urinary incontinence;10046543;LLT;20,1
3244;C56803;Grade 1 Urinary Incontinence, CTCAE;Occasional (e.g., with coughing, sneezing, etc.), pads not indicated;Grade 1 Urinary incontinence;Occasional (e.g., with coughing, sneezing, etc.), pads not indicated;Urinary incontinence;10046543;LLT;20,1
3245;C56864;Grade 2 Urinary Incontinence, CTCAE;"Spontaneous; pads indicated; limiting instrumental ADL";Grade 2 Urinary incontinence;"Spontaneous; pads indicated; limiting instrumental ADL";Urinary incontinence;10046543;LLT;20,1
3246;C56925;Grade 3 Urinary Incontinence, CTCAE;"Intervention indicated (e.g., clamp, collagen injections); operative intervention indicated; limiting self care ADL";Grade 3 Urinary incontinence;"Intervention indicated (e.g., clamp, collagen injections); operative intervention indicated; limiting self care ADL";Urinary incontinence;10046543;LLT;20,1
3247;C57097;Urinary Retention, CTCAE;A disorder characterized by accumulation of urine within the bladder because of the inability to urinate.;Urinary retention;A disorder characterized by accumulation of urine within the bladder because of the inability to urinate.;Urinary retention;10046555;LLT;20,1
3248;C56804;Grade 1 Urinary Retention, CTCAE;"Urinary, suprapubic or intermittent catheter placement not indicated; able to void with some residual";Grade 1 Urinary retention;"Urinary, suprapubic or intermittent catheter placement not indicated; able to void with some residual";Urinary retention;10046555;LLT;20,1
3249;C56865;Grade 2 Urinary Retention, CTCAE;"Placement of urinary, suprapubic or intermittent catheter placement indicated; medication indicated";Grade 2 Urinary retention;"Placement of urinary, suprapubic or intermittent catheter placement indicated; medication indicated";Urinary retention;10046555;LLT;20,1
3250;C56926;Grade 3 Urinary Retention, CTCAE;"Elective invasive intervention indicated; substantial loss of affected kidney function or mass";Grade 3 Urinary retention;"Elective invasive intervention indicated; substantial loss of affected kidney function or mass";Urinary retention;10046555;LLT;20,1
3251;C56985;Grade 4 Urinary Retention, CTCAE;"Life-threatening consequences; organ failure; urgent operative intervention indicated";Grade 4 Urinary retention;"Life-threatening consequences; organ failure; urgent operative intervention indicated";Urinary retention;10046555;LLT;20,1
3252;C57042;Grade 5 Urinary Retention, CTCAE;Death;Grade 5 Urinary retention;Death;Urinary retention;10046555;LLT;20,1
3253;C143905;Urinary Tract Obstruction, CTCAE;A disorder characterized by blockage of the normal flow of contents of the urinary tract.;Urinary tract obstruction;A disorder characterized by blockage of the normal flow of contents of the urinary tract.;Urinary tract obstruction;10061574;LLT;20,1
3254;C144453;Grade 1 Urinary Tract Obstruction, CTCAE;"Asymptomatic; clinical or diagnostic observations only; intervention not indicated";Grade 1 Urinary tract obstruction;"Asymptomatic; clinical or diagnostic observations only; intervention not indicated";Urinary tract obstruction;10061574;LLT;20,1
3255;C145062;Grade 2 Urinary Tract Obstruction, CTCAE;"Symptomatic but no hydronephrosis, sepsis, or renal dysfunction; urethral dilation, urinary or suprapubic catheter indicated";Grade 2 Urinary tract obstruction;"Symptomatic but no hydronephrosis, sepsis, or renal dysfunction; urethral dilation, urinary or suprapubic catheter indicated";Urinary tract obstruction;10061574;LLT;20,1
3256;C145683;Grade 3 Urinary Tract Obstruction, CTCAE;"Altered organ function (e.g., hydronephrosis or renal dysfunction); invasive intervention indicated";Grade 3 Urinary tract obstruction;"Altered organ function (e.g., hydronephrosis or renal dysfunction); invasive intervention indicated";Urinary tract obstruction;10061574;LLT;20,1
3257;C146167;Grade 4 Urinary Tract Obstruction, CTCAE;"Life-threatening consequences; urgent intervention indicated";Grade 4 Urinary tract obstruction;"Life-threatening consequences; urgent intervention indicated";Urinary tract obstruction;10061574;LLT;20,1
3258;C146597;Grade 5 Urinary Tract Obstruction, CTCAE;Death;Grade 5 Urinary tract obstruction;Death;Urinary tract obstruction;10061574;LLT;20,1
3259;C143906;Urinary Tract Pain, CTCAE;A disorder characterized by a sensation of marked discomfort in the urinary tract.;Urinary tract pain;A disorder characterized by a sensation of marked discomfort in the urinary tract.;Urinary tract pain;10062225;LLT;20,1
3260;C144454;Grade 1 Urinary Tract Pain, CTCAE;Mild pain;Grade 1 Urinary tract pain;Mild pain;Urinary tract pain;10062225;LLT;20,1
3261;C145063;Grade 2 Urinary Tract Pain, CTCAE;"Moderate pain; limiting instrumental ADL";Grade 2 Urinary tract pain;"Moderate pain; limiting instrumental ADL";Urinary tract pain;10062225;LLT;20,1
3262;C145684;Grade 3 Urinary Tract Pain, CTCAE;"Severe pain; limiting self care ADL";Grade 3 Urinary tract pain;"Severe pain; limiting self care ADL";Urinary tract pain;10062225;LLT;20,1
3263;C143907;Urinary Urgency, CTCAE;A disorder characterized by a sudden compelling urge to urinate.;Urinary urgency;A disorder characterized by a sudden compelling urge to urinate.;Urinary urgency;10046593;LLT;20,1
3264;C144455;Grade 1 Urinary Urgency, CTCAE;Present;Grade 1 Urinary urgency;Present;Urinary urgency;10046593;LLT;20,1
3265;C145064;Grade 2 Urinary Urgency, CTCAE;"Limiting instrumental ADL; medical management indicated";Grade 2 Urinary urgency;"Limiting instrumental ADL; medical management indicated";Urinary urgency;10046593;LLT;20,1
3266;C143908;Urine Discoloration, CTCAE;A disorder characterized by a change in the color of the urine.;Urine discoloration;A disorder characterized by a change in the color of the urine.;Urine discoloration;10046628;LLT;20,1
3267;C144456;Grade 1 Urine Discoloration, CTCAE;Present;Grade 1 Urine discoloration;Present;Urine discoloration;10046628;LLT;20,1
3268;C143180;Reproductive System and Breast Disorders, CTCAE;;;;;;;
3269;C143240;Amenorrhea, CTCAE;A disorder characterized by the abnormal absence of menses for at least three consecutive menstrual cycles;Amenorrhea;A disorder characterized by the abnormal absence of menses for at least three consecutive menstrual cycles;Amenorrhea;10001927;LLT;20,1
3270;C144508;Grade 2 Amenorrhea, CTCAE;Present;Grade 2 Amenorrhea;Present;Amenorrhea;10001927;LLT;20,1
3271;C143312;Azoospermia, CTCAE;A disorder characterized by laboratory test results that indicate complete absence of spermatozoa in the semen.;Azoospermia;A disorder characterized by laboratory test results that indicate complete absence of spermatozoa in the semen.;Azoospermia;10003883;LLT;20,1
3272;C144533;Grade 2 Azoospermia, CTCAE;Absence of sperm in ejaculate;Grade 2 Azoospermia;Absence of sperm in ejaculate;Azoospermia;10003883;LLT;20,1
3273;C143335;Breast Atrophy, CTCAE;A disorder characterized by underdevelopment of the breast.;Breast atrophy;A disorder characterized by underdevelopment of the breast.;Breast atrophy;10006179;LLT;20,1
3274;C144010;Grade 1 Breast Atrophy, CTCAE;"Minimal asymmetry; minimal atrophy";Grade 1 Breast atrophy;"Minimal asymmetry; minimal atrophy";Breast atrophy;10006179;LLT;20,1
3275;C144553;Grade 2 Breast Atrophy, CTCAE;"Moderate asymmetry; moderate atrophy";Grade 2 Breast atrophy;"Moderate asymmetry; moderate atrophy";Breast atrophy;10006179;LLT;20,1
3276;C145169;Grade 3 Breast Atrophy, CTCAE;"Asymmetry >1/3 of breast volume; severe atrophy";Grade 3 Breast atrophy;"Asymmetry >1/3 of breast volume; severe atrophy";Breast atrophy;10006179;LLT;20,1
3277;C146742;Breast Pain, CTCAE 5.0;A disorder characterized by a sensation of marked discomfort in the breast region.;Breast pain;A disorder characterized by a sensation of marked discomfort in the breast region.;Breast pain;10006298;LLT;20,1
3278;C56026;Grade 1 Breast Pain, CTCAE;Mild pain;Grade 1 Breast pain;Mild pain;Breast pain;10006298;LLT;20,1
3279;C56027;Grade 2 Breast Pain, CTCAE;"Moderate pain; limiting instrumental ADL";Grade 2 Breast pain;"Moderate pain; limiting instrumental ADL";Breast pain;10006298;LLT;20,1
3280;C56028;Grade 3 Breast Pain, CTCAE;"Severe pain; limiting self care ADL";Grade 3 Breast pain;"Severe pain; limiting self care ADL";Breast pain;10006298;LLT;20,1
3281;C143423;Dysmenorrhea, CTCAE;A disorder characterized by abnormally painful abdominal cramps during menses.;Dysmenorrhea;A disorder characterized by abnormally painful abdominal cramps during menses.;Dysmenorrhea;10013934;LLT;20,1
3282;C144063;Grade 1 Dysmenorrhea, CTCAE;"Mild symptoms; intervention not indicated";Grade 1 Dysmenorrhea;"Mild symptoms; intervention not indicated";Dysmenorrhea;10013934;LLT;20,1
3283;C144619;Grade 2 Dysmenorrhea, CTCAE;"Moderate symptoms; limiting instrumental ADL";Grade 2 Dysmenorrhea;"Moderate symptoms; limiting instrumental ADL";Dysmenorrhea;10013934;LLT;20,1
3284;C145235;Grade 3 Dysmenorrhea, CTCAE;"Severe symptoms; limiting self care ADL";Grade 3 Dysmenorrhea;"Severe symptoms; limiting self care ADL";Dysmenorrhea;10013934;LLT;20,1
3285;C143424;Dyspareunia, CTCAE;A disorder characterized by painful or difficult coitus.;Dyspareunia;A disorder characterized by painful or difficult coitus.;Dyspareunia;10013941;LLT;20,1
3286;C144064;Grade 1 Dyspareunia, CTCAE;"Mild discomfort or pain associated with vaginal penetration; discomfort relieved with use of vaginal lubricants or estrogen";Grade 1 Dyspareunia;"Mild discomfort or pain associated with vaginal penetration; discomfort relieved with use of vaginal lubricants or estrogen";Dyspareunia;10013941;LLT;20,1
3287;C144620;Grade 2 Dyspareunia, CTCAE;"Moderate discomfort or pain associated with vaginal penetration; discomfort or pain partially relieved with use of vaginal lubricants or estrogen";Grade 2 Dyspareunia;"Moderate discomfort or pain associated with vaginal penetration; discomfort or pain partially relieved with use of vaginal lubricants or estrogen";Dyspareunia;10013941;LLT;20,1
3288;C145236;Grade 3 Dyspareunia, CTCAE;"Severe discomfort or pain associated with vaginal penetration; discomfort or pain unrelieved by vaginal lubricants or estrogen";Grade 3 Dyspareunia;"Severe discomfort or pain associated with vaginal penetration; discomfort or pain unrelieved by vaginal lubricants or estrogen";Dyspareunia;10013941;LLT;20,1
3289;C143435;Ejaculation Disorder, CTCAE;A disorder characterized by problems related to ejaculation. This category includes premature, delayed, retrograde and painful ejaculation.;Ejaculation disorder;A disorder characterized by problems related to ejaculation. This category includes premature, delayed, retrograde and painful ejaculation.;Ejaculation disorder;10014326;LLT;20,1
3290;C144074;Grade 1 Ejaculation Disorder, CTCAE;Diminished ejaculation;Grade 1 Ejaculation disorder;Diminished ejaculation;Ejaculation disorder;10014326;LLT;20,1
3291;C144629;Grade 2 Ejaculation Disorder, CTCAE;Anejaculation or retrograde ejaculation;Grade 2 Ejaculation disorder;Anejaculation or retrograde ejaculation;Ejaculation disorder;10014326;LLT;20,1
3292;C55615;Erectile Dysfunction, CTCAE;A disorder characterized by the persistent or recurrent inability to achieve or to maintain an erection during sexual activity.;Erectile dysfunction;A disorder characterized by the persistent or recurrent inability to achieve or to maintain an erection during sexual activity.;Erectile dysfunction;10061461;LLT;20,1
3293;C55616;Grade 1 Erectile Dysfunction, CTCAE;Decrease in erectile function (frequency or rigidity of erections) but intervention not indicated (e.g., medication or use of mechanical device, penile pump);Grade 1 Erectile dysfunction;Decrease in erectile function (frequency or rigidity of erections) but intervention not indicated (e.g., medication or use of mechanical device, penile pump);Erectile dysfunction;10061461;LLT;20,1
3294;C55617;Grade 2 Erectile Dysfunction, CTCAE;Decrease in erectile function (frequency/rigidity of erections), erectile intervention indicated, (e.g., medication or mechanical devices such as penile pump);Grade 2 Erectile dysfunction;Decrease in erectile function (frequency/rigidity of erections), erectile intervention indicated, (e.g., medication or mechanical devices such as penile pump);Erectile dysfunction;10061461;LLT;20,1
3295;C55618;Grade 3 Erectile Dysfunction, CTCAE;"Decrease in erectile function (frequency/rigidity of erections) but erectile intervention not helpful (e.g., medication or mechanical devices such as penile pump); placement of a permanent penile prosthesis indicated (not previously present)";Grade 3 Erectile dysfunction;"Decrease in erectile function (frequency/rigidity of erections) but erectile intervention not helpful (e.g., medication or mechanical devices such as penile pump); placement of a permanent penile prosthesis indicated (not previously present)";Erectile dysfunction;10061461;LLT;20,1
3296;C146752;Fallopian Tube Obstruction, CTCAE 5.0;A disorder characterized by blockage of the normal flow of the contents in the fallopian tube.;Fallopian tube obstruction;A disorder characterized by blockage of the normal flow of the contents in the fallopian tube.;Fallopian tube obstruction;10065789;LLT;20,1
3297;C56767;Grade 1 Fallopian Tube Obstruction, CTCAE;"Asymptomatic; clinical or diagnostic observations only; intervention not indicated";Grade 1 Fallopian tube obstruction;"Asymptomatic; clinical or diagnostic observations only; intervention not indicated";Fallopian tube obstruction;10065789;LLT;20,1
3298;C56828;Grade 2 Fallopian Tube Obstruction, CTCAE;"Symptomatic; elective intervention indicated";Grade 2 Fallopian tube obstruction;"Symptomatic; elective intervention indicated";Fallopian tube obstruction;10065789;LLT;20,1
3299;C56888;Grade 3 Fallopian Tube Obstruction, CTCAE;"Severe symptoms; invasive intervention indicated";Grade 3 Fallopian tube obstruction;"Severe symptoms; invasive intervention indicated";Fallopian tube obstruction;10065789;LLT;20,1
3300;C143483;Feminization Acquired, CTCAE;A disorder characterized by the development of secondary female sex characteristics in males due to extrinsic factors.;Feminization acquired;A disorder characterized by the development of secondary female sex characteristics in males due to extrinsic factors.;Feminization acquired;10054382;LLT;20,1
3301;C144103;Grade 1 Feminization Acquired, CTCAE;"Mild symptoms; intervention not indicated";Grade 1 Feminization acquired;"Mild symptoms; intervention not indicated";Feminization acquired;10054382;LLT;20,1
3302;C144663;Grade 2 Feminization Acquired, CTCAE;"Moderate symptoms; medical intervention indicated";Grade 2 Feminization acquired;"Moderate symptoms; medical intervention indicated";Feminization acquired;10054382;LLT;20,1
3303;C143515;Genital Edema, CTCAE;A disorder characterized by swelling due to an excessive accumulation of fluid in the genitals.;Genital edema;A disorder characterized by swelling due to an excessive accumulation of fluid in the genitals.;Genital edema;10018146;LLT;20,1
3304;C144128;Grade 1 Genital Edema, CTCAE;Mild swelling or obscuration of anatomic architecture on close inspection;Grade 1 Genital edema;Mild swelling or obscuration of anatomic architecture on close inspection;Genital edema;10018146;LLT;20,1
3305;C144693;Grade 2 Genital Edema, CTCAE;"Readily apparent obscuration of anatomic architecture; obliteration of skin folds; readily apparent deviation from normal anatomic contour";Grade 2 Genital edema;"Readily apparent obscuration of anatomic architecture; obliteration of skin folds; readily apparent deviation from normal anatomic contour";Genital edema;10018146;LLT;20,1
3306;C145315;Grade 3 Genital Edema, CTCAE;"Lymphorrhea; gross deviation from normal anatomic contour; limiting self care ADL";Grade 3 Genital edema;"Lymphorrhea; gross deviation from normal anatomic contour; limiting self care ADL";Genital edema;10018146;LLT;20,1
3307;C146685;Gynecomastia, CTCAE 5.0;A disorder characterized by excessive development of the breasts in males.;Gynecomastia;A disorder characterized by excessive development of the breasts in males.;Gynecomastia;10018801;LLT;20,1
3308;C144138;Grade 1 Gynecomastia, CTCAE;Asymptomatic;Grade 1 Gynecomastia;Asymptomatic;Gynecomastia;10018801;LLT;20,1
3309;C55620;Grade 2 Gynecomastia, CTCAE;Symptomatic (e.g., pain or psychosocial impact);Grade 2 Gynecomastia;Symptomatic (e.g., pain or psychosocial impact);Gynecomastia;10018801;LLT;20,1
3310;C55621;Grade 3 Gynecomastia, CTCAE;"Severe symptoms; elective operative intervention indicated";Grade 3 Gynecomastia;"Severe symptoms; elective operative intervention indicated";Gynecomastia;10018801;LLT;20,1
3311;C143531;Hematosalpinx, CTCAE;A disorder characterized by the presence of blood in a fallopian tube.;Hematosalpinx;A disorder characterized by the presence of blood in a fallopian tube.;Hematosalpinx;10060602;LLT;20,1
3312;C144146;Grade 1 Hematosalpinx, CTCAE;"Minimal bleeding identified on imaging study or laparoscopy; intervention not indicated";Grade 1 Hematosalpinx;"Minimal bleeding identified on imaging study or laparoscopy; intervention not indicated";Hematosalpinx;10060602;LLT;20,1
3313;C144707;Grade 2 Hematosalpinx, CTCAE;"Moderate bleeding; medical intervention indicated";Grade 2 Hematosalpinx;"Moderate bleeding; medical intervention indicated";Hematosalpinx;10060602;LLT;20,1
3314;C145327;Grade 3 Hematosalpinx, CTCAE;"Transfusion indicated; invasive intervention indicated";Grade 3 Hematosalpinx;"Transfusion indicated; invasive intervention indicated";Hematosalpinx;10060602;LLT;20,1
3315;C145885;Grade 4 Hematosalpinx, CTCAE;"Life-threatening consequences; urgent operative intervention indicated";Grade 4 Hematosalpinx;"Life-threatening consequences; urgent operative intervention indicated";Hematosalpinx;10060602;LLT;20,1
3316;C146334;Grade 5 Hematosalpinx, CTCAE;Death;Grade 5 Hematosalpinx;Death;Hematosalpinx;10060602;LLT;20,1
3317;C143617;Irregular Menstruation, CTCAE;A disorder characterized by a change in cycle or duration of menses from baseline.;Irregular menstruation;A disorder characterized by a change in cycle or duration of menses from baseline.;Irregular menstruation;10022992;LLT;20,1
3318;C144221;Grade 1 Irregular Menstruation, CTCAE;Intermittent/irregular menses for no more than 3 consecutive menstrual cycles;Grade 1 Irregular menstruation;Intermittent/irregular menses for no more than 3 consecutive menstrual cycles;Irregular menstruation;10022992;LLT;20,1
3319;C144789;Grade 2 Irregular Menstruation, CTCAE;Intermittent/irregular menses for more than 3 consecutive menstrual cycles;Grade 2 Irregular menstruation;Intermittent/irregular menses for more than 3 consecutive menstrual cycles;Irregular menstruation;10022992;LLT;20,1
3320;C143634;Lactation Disorder, CTCAE;A disorder characterized by disturbances of milk secretion. It is not necessarily related to pregnancy that is observed in females and can be observed in males.;Lactation disorder;A disorder characterized by disturbances of milk secretion. It is not necessarily related to pregnancy that is observed in females and can be observed in males.;Lactation disorder;10061261;LLT;20,1
3321;C144234;Grade 1 Lactation Disorder, CTCAE;Mild changes in lactation, not significantly affecting production or expression of breast milk;Grade 1 Lactation disorder;Mild changes in lactation, not significantly affecting production or expression of breast milk;Lactation disorder;10061261;LLT;20,1
3322;C144805;Grade 2 Lactation Disorder, CTCAE;Changes in lactation, significantly affecting breast production or expression of breast milk;Grade 2 Lactation disorder;Changes in lactation, significantly affecting breast production or expression of breast milk;Lactation disorder;10061261;LLT;20,1
3323;C143671;Menorrhagia, CTCAE;A disorder characterized by abnormally heavy vaginal bleeding during menses.;Menorrhagia;A disorder characterized by abnormally heavy vaginal bleeding during menses.;Menorrhagia;10027313;LLT;20,1
3324;C144260;Grade 1 Menorrhagia, CTCAE;"Mild; iron supplements indicated";Grade 1 Menorrhagia;"Mild; iron supplements indicated";Menorrhagia;10027313;LLT;20,1
3325;C144836;Grade 2 Menorrhagia, CTCAE;"Moderate symptoms; medical intervention indicated (e.g., hormones)";Grade 2 Menorrhagia;"Moderate symptoms; medical intervention indicated (e.g., hormones)";Menorrhagia;10027313;LLT;20,1
3326;C145458;Grade 3 Menorrhagia, CTCAE;"Severe; transfusion indicated; operative intervention indicated (e.g., hysterectomy)";Grade 3 Menorrhagia;"Severe; transfusion indicated; operative intervention indicated (e.g., hysterectomy)";Menorrhagia;10027313;LLT;20,1
3327;C145994;Grade 4 Menorrhagia, CTCAE;"Life-threatening consequences; urgent intervention indicated";Grade 4 Menorrhagia;"Life-threatening consequences; urgent intervention indicated";Menorrhagia;10027313;LLT;20,1
3328;C146439;Grade 5 Menorrhagia, CTCAE;Death;Grade 5 Menorrhagia;Death;Menorrhagia;10027313;LLT;20,1
3329;C143706;Nipple Deformity, CTCAE;A disorder characterized by a malformation of the nipple.;Nipple deformity;A disorder characterized by a malformation of the nipple.;Nipple deformity;10065823;LLT;20,1
3330;C144291;Grade 1 Nipple Deformity, CTCAE;"Asymptomatic; asymmetry with slight retraction and/or thickening of the nipple areolar complex";Grade 1 Nipple deformity;"Asymptomatic; asymmetry with slight retraction and/or thickening of the nipple areolar complex";Nipple deformity;10065823;LLT;20,1
3331;C144867;Grade 2 Nipple Deformity, CTCAE;"Symptomatic; asymmetry of nipple areolar complex with moderate retraction and/or thickening of the nipple areolar complex";Grade 2 Nipple deformity;"Symptomatic; asymmetry of nipple areolar complex with moderate retraction and/or thickening of the nipple areolar complex";Nipple deformity;10065823;LLT;20,1
3332;C143713;Oligospermia, CTCAE;A disorder characterized by a decrease in the number of spermatozoa in the semen.;Oligospermia;A disorder characterized by a decrease in the number of spermatozoa in the semen.;Oligospermia;10030300;LLT;20,1
3333;C144295;Grade 1 Oligospermia, CTCAE;Sperm concentration > 0 to < 15 million/ml;Grade 1 Oligospermia;Sperm concentration > 0 to < 15 million/ml;Oligospermia;10030300;LLT;20,1
3334;C143722;Ovarian Rupture, CTCAE;A disorder characterized by tearing or disruption of the ovarian tissue.;Ovarian rupture;A disorder characterized by tearing or disruption of the ovarian tissue.;Ovarian rupture;10033279;LLT;20,1
3335;C144306;Grade 1 Ovarian Rupture, CTCAE;"Asymptomatic clinical or diagnostic observations only; intervention not indicated";Grade 1 Ovarian rupture;"Asymptomatic clinical or diagnostic observations only; intervention not indicated";Ovarian rupture;10033279;LLT;20,1
3336;C144884;Grade 2 Ovarian Rupture, CTCAE;Symptomatic and intervention not indicated;Grade 2 Ovarian rupture;Symptomatic and intervention not indicated;Ovarian rupture;10033279;LLT;20,1
3337;C145505;Grade 3 Ovarian Rupture, CTCAE;"Transfusion; invasive intervention indicated";Grade 3 Ovarian rupture;"Transfusion; invasive intervention indicated";Ovarian rupture;10033279;LLT;20,1
3338;C146024;Grade 4 Ovarian Rupture, CTCAE;"Life-threatening consequences; urgent intervention indicated";Grade 4 Ovarian rupture;"Life-threatening consequences; urgent intervention indicated";Ovarian rupture;10033279;LLT;20,1
3339;C146465;Grade 5 Ovarian Rupture, CTCAE;Death;Grade 5 Ovarian rupture;Death;Ovarian rupture;10033279;LLT;20,1
3340;C56553;Ovarian Hemorrhage, CTCAE;A disorder characterized by bleeding from the ovary.;Ovarian hemorrhage;A disorder characterized by bleeding from the ovary.;Ovarian hemorrhage;10065763;LLT;20,1
3341;C56309;Grade 1 Ovarian Hemorrhage, CTCAE;"Mild symptoms; intervention not indicated";Grade 1 Ovarian hemorrhage;"Mild symptoms; intervention not indicated";Ovarian hemorrhage;10065763;LLT;20,1
3342;C56358;Grade 2 Ovarian Hemorrhage, CTCAE;"Moderate symptoms; intervention indicated";Grade 2 Ovarian hemorrhage;"Moderate symptoms; intervention indicated";Ovarian hemorrhage;10065763;LLT;20,1
3343;C56408;Grade 3 Ovarian Hemorrhage, CTCAE;"Transfusion indicated; invasive intervention indicated; hospitalization";Grade 3 Ovarian hemorrhage;"Transfusion indicated; invasive intervention indicated; hospitalization";Ovarian hemorrhage;10065763;LLT;20,1
3344;C56458;Grade 4 Ovarian Hemorrhage, CTCAE;"Life-threatening consequences; urgent intervention indicated";Grade 4 Ovarian hemorrhage;"Life-threatening consequences; urgent intervention indicated";Ovarian hemorrhage;10065763;LLT;20,1
3345;C56507;Grade 5 Ovarian Hemorrhage, CTCAE;Death;Grade 5 Ovarian hemorrhage;Death;Ovarian hemorrhage;10065763;LLT;20,1
3346;C146769;Ovulation Pain, CTCAE 5.0;A disorder characterized by a sensation of marked discomfort in one side of the abdomen between menstrual cycles, around the time of the discharge of the ovum from the ovarian follicle.;Ovulation pain;A disorder characterized by a sensation of marked discomfort in one side of the abdomen between menstrual cycles, around the time of the discharge of the ovum from the ovarian follicle.;Ovulation pain;10033314;LLT;20,1
3347;C56157;Grade 2 Ovulation Pain, CTCAE;Present;Grade 2 Ovulation pain;Present;Ovulation pain;10033314;LLT;20,1
3348;C143739;Pelvic Floor Muscle Weakness, CTCAE;A disorder characterized by a reduction in the strength of the muscles of the pelvic floor.;Pelvic floor muscle weakness;A disorder characterized by a reduction in the strength of the muscles of the pelvic floor.;Pelvic floor muscle weakness;10064026;LLT;20,1
3349;C144321;Grade 1 Pelvic Floor Muscle Weakness, CTCAE;"Asymptomatic; clinical or diagnostic observations only; intervention not indicated";Grade 1 Pelvic floor muscle weakness;"Asymptomatic; clinical or diagnostic observations only; intervention not indicated";Pelvic floor muscle weakness;10064026;LLT;20,1
3350;C144900;Grade 2 Pelvic Floor Muscle Weakness, CTCAE;"Symptomatic, not interfering with bladder, bowel, or vaginal function; limiting instrumental ADL";Grade 2 Pelvic floor muscle weakness;"Symptomatic, not interfering with bladder, bowel, or vaginal function; limiting instrumental ADL";Pelvic floor muscle weakness;10064026;LLT;20,1
3351;C145522;Grade 3 Pelvic Floor Muscle Weakness, CTCAE;"Severe symptoms; limiting self care ADL";Grade 3 Pelvic floor muscle weakness;"Severe symptoms; limiting self care ADL";Pelvic floor muscle weakness;10064026;LLT;20,1
3352;C146679;Pelvic Pain, CTCAE 5.0;A disorder characterized by a sensation of marked discomfort in the pelvis.;Pelvic pain;A disorder characterized by a sensation of marked discomfort in the pelvis.;Pelvic pain;10034263;LLT;20,1
3353;C144322;Grade 1 Pelvic Pain, CTCAE;Mild pain;Grade 1 Pelvic pain;Mild pain;Pelvic pain;10034263;LLT;20,1
3354;C144902;Grade 2 Pelvic Pain, CTCAE;"Moderate pain; limiting instrumental ADL";Grade 2 Pelvic pain;"Moderate pain; limiting instrumental ADL";Pelvic pain;10034263;LLT;20,1
